ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_7871	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	fermentum	100	100	100	100	100	100	100
Seq_7872	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	95	67	39	37	37	37	37
Seq_7873	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	84	55	53	53	53	53
Seq_7874	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	87	61	61	61	61	61
Seq_7875	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_7876	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA	100	100	100	100	100	92	91
Seq_7877	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	100	100	100	100	100	48	38
Seq_7878	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_7879	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA	100	100	100	100	100	100	100
Seq_7880	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_7881	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	97	97	95	86
Seq_7882	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Xylophilus	NA	100	100	100	100	100	62	62
Seq_7883	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	NA	100	100	100	100	100	33	33
Seq_7884	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7885	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	100	91	90	84	82	26	10
Seq_7886	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	77	77	77	71	19	19
Seq_7887	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Camelimonas	NA	100	100	100	100	100	100	100
Seq_7888	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Terriglobus	roseus	100	100	100	100	100	99	52
Seq_7889	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA	NA	100	99	99	89	79	45	29
Seq_7890	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	rhizophila	100	100	100	100	100	99	99
Seq_7891	Bacteria	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	NA	100	100	100	100	100	100	77
Seq_7892	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	pectinilyticus	100	99	99	70	70	70	50
Seq_7893	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	46
Seq_7894	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	73	73	73	73
Seq_7895	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	99	99	81	81	81	81
Seq_7896	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	NA	100	100	100	100	100	66	61
Seq_7897	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	100	100	100	100	99	53	19
Seq_7898	Bacteria	NA	NA	NA	NA	NA	NA	100	37	33	33	14	9	8
Seq_7899	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	71	71
Seq_7900	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	100	100	100	100	100	96	64
Seq_7901	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] hallii group	hallii	100	100	100	100	100	100	100
Seq_7902	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	NA	NA	100	100	100	100	99	99	99
Seq_7903	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	90	90	35	34
Seq_7904	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7905	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA	100	98	98	98	98	98	98
Seq_7906	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA	100	100	100	100	100	100	100
Seq_7907	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	99	99	56	56	56	56
Seq_7908	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA	100	100	100	100	100	98	96
Seq_7909	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	99	99	90
Seq_7910	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	91	91
Seq_7911	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	NA	100	99	99	99	52	51	51
Seq_7912	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	100	99	99	30	29	28	26
Seq_7913	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	NA	100	100	100	100	99	58	54
Seq_7914	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	95	94	94	94
Seq_7915	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	100	100	100
Seq_7916	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA	100	100	100	100	100	100	100
Seq_7917	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	NA	NA	100	100	100	100	100	60	60
Seq_7918	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	100	75	74	46	45	45	45
Seq_7919	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_7920	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	97	96	96	96
Seq_7921	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	84	84	84	81
Seq_7922	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	100	100	100	100	65	46	46
Seq_7923	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12409	NA	NA	100	100	100	100	99	99	99
Seq_7924	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	79	79
Seq_7925	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	100	100	100	100	100	96	90
Seq_7926	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	NA	100	100	100	100	100	64	27
Seq_7927	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	99	99	99
Seq_7928	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	NA	NA	100	100	100	100	100	100	100
Seq_7929	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_7930	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	NA	100	100	100	100	99	99	99
Seq_7931	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7932	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	NA	NA	100	100	100	99	99	99	99
Seq_7933	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	mallensis	100	100	100	100	100	100	65
Seq_7934	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	phage	100	100	100	99	90	86	50
Seq_7935	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	100	100	100
Seq_7936	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	99	99
Seq_7937	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	99	98	49	49	49	49
Seq_7938	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA	100	100	100	100	100	61	61
Seq_7939	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_7940	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	100	56
Seq_7941	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	98	83	83	83	83
Seq_7942	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	82	82	82	71
Seq_7943	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	99	99	99
Seq_7944	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	99	99
Seq_7945	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	100	54	54	54	54
Seq_7946	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	100	100	100	100	100	95	26
Seq_7947	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	NA	100	100	100	100	100	100	100
Seq_7948	Bacteria	Acidobacteriota	Subgroup 5	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_7949	Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_7950	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7951	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	96	96	96	96
Seq_7952	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA	NA	100	100	100	98	98	98	98
Seq_7953	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA	NA	100	100	100	100	73	41	41
Seq_7954	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	NA	100	100	100	100	100	100	100
Seq_7955	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	NA	100	100	100	100	100	99	99
Seq_7956	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	94	94
Seq_7957	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	94	94
Seq_7958	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA	100	98	98	79	71	71	71
Seq_7959	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	100	100	100	100	89	41	41
Seq_7960	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7961	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	99	99
Seq_7962	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	69	69	69
Seq_7963	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_7964	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA	NA	100	100	100	93	93	93	93
Seq_7965	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	99	81	80	80	80	80	80
Seq_7966	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	100	100	100	41	41	41	41
Seq_7967	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	NA	100	99	99	54	54	54	54
Seq_7968	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7969	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_7970	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	99	69	69	69	69
Seq_7971	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	100	100	100	100	100	89	50
Seq_7972	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	hofstadii	100	100	100	100	100	100	90
Seq_7973	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerococcus	NA	NA	100	100	100	100	100	100	100
Seq_7974	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	100	100	100	11	11	11	11
Seq_7975	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7976	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7977	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	100	100	100	100	98	98	98
Seq_7978	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	100	100	22	22	22	22
Seq_7979	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	100	100	100	100
Seq_7980	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	63	63
Seq_7981	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA	NA	100	100	100	89	89	89	89
Seq_7982	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	100	100	100	100	83	83	83
Seq_7983	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	99	78	67	54	53	53	53
Seq_7984	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	NA	100	100	100	85	85	81	65
Seq_7985	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	glacialis	100	100	100	100	100	100	90
Seq_7986	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7987	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_7988	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	100	100	100
Seq_7989	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	59	58	58	58	58
Seq_7990	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	100	100	100	100	83	66	66
Seq_7991	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	100	100	100	100	65	65	65
Seq_7992	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15	NA	NA	NA	100	100	100	100	100	100	100
Seq_7993	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA	100	100	100	51	51	51	51
Seq_7994	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	91	71	68	68	68	68
Seq_7995	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	94	63	61	61	61	61
Seq_7996	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	100	100	100	100	100	91	91
Seq_7997	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	88	88
Seq_7998	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	NA	100	100	100	100	100	100	100
Seq_7999	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	NA	100	100	100	100	100	100	100
Seq_8000	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	88	68	65	65	65	65
Seq_8001	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_8002	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	99	99	99	99
Seq_8003	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	NA	100	100	100	100	100	99	99
Seq_8004	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_8005	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_8006	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	86	84	46	46	46	46
Seq_8007	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	99	95	95
Seq_8008	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_8009	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	100	99	87	87	87	87
Seq_8010	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	100	100	100	100	100	100	58
Seq_8011	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_8012	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	76	76	76	76
Seq_8013	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	100	100	96	96	96	96
Seq_8014	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	100	99	97	97	97	97	97
Seq_8015	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	97	97	97	97
Seq_8016	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	99	99	87	87	87	87
Seq_8017	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	100	100	100	100	100	85	85
Seq_8018	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	60	60	60
Seq_8019	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA	100	100	100	98	97	97	44
Seq_8020	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	100	100	100	100	100	49	49
Seq_8021	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	100	100	100	100	100	100	49
Seq_8022	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	63	63	63	63
Seq_8023	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA	100	99	99	99	30	30	30
Seq_8024	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	100	100	100	100	100	100	100
Seq_8025	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	99	99	65	65	65	65
Seq_8026	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	borealis	100	100	100	100	100	100	81
Seq_8027	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_8028	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	100	100	100	100	100	80	80
Seq_8029	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	51	32
Seq_8030	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA	100	100	100	100	100	99	99
Seq_8031	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter	cerinus	100	100	100	100	100	100	94
Seq_8032	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	NA	100	100	100	100	100	90	83
Seq_8033	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Cuspidothrix LMECYA 163	NA	100	100	100	100	100	100	48
Seq_8034	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Megaira	NA	100	100	100	100	99	93	64
Seq_8035	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	NA	100	100	100	100	100	77	47
Seq_8036	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	100	100	100	100	91	91	91
Seq_8037	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_8038	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA	100	100	100	100	100	94	94
Seq_8039	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	halophilus	100	100	100	100	100	100	100
Seq_8040	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	NA	100	100	100	100	100	100	69
Seq_8041	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	NA	100	100	100	100	100	100	68
Seq_8042	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA	100	100	100	100	100	100	100
Seq_8043	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	98	98	98	98	98	98
Seq_8044	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	100	100	100	100	100	100
Seq_8045	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter	NA	100	100	100	100	100	67	67
Seq_8046	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	66	18
Seq_8047	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	100	100	100	100	100	100	100
Seq_8048	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_8049	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA	100	100	100	100	100	100	100
Seq_8050	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	100	97	44	44	24	24
Seq_8051	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	NA	NA	100	100	100	100	100	67	67
Seq_8052	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Pasteuria	NA	100	100	99	94	94	60	60
Seq_8053	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	100	100	75	75	75	75
Seq_8054	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga	NA	100	100	100	97	77	77	77
Seq_8055	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	99	59	40	40	40
Seq_8056	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	100	100	100	100	100	100
Seq_8057	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	96	95	34	34	34	34
Seq_8058	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	72	37	37	37
Seq_8059	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus	NA	100	100	100	100	100	100	100
Seq_8060	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA	100	100	100	100	100	100	100
Seq_8061	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	96	94	60	60	46	46
Seq_8062	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	NA	100	100	100	100	100	100	100
Seq_8063	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	76	51	50	50	50	50
Seq_8064	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	87	87
Seq_8065	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	100	70	70
Seq_8066	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	NA	100	100	100	100	99	95	69
Seq_8067	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA	100	99	99	76	76	67	67
Seq_8068	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	92	92	92	92
Seq_8069	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA	100	100	100	90	90	90	90
Seq_8070	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	NA	100	100	100	100	76	72	72
Seq_8071	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	NA	100	100	100	100	77	77	76
